touch_id,step,team,player,ball_x,ball_y,speed_ema,class_type,target_idx,ang_goal_deg,ang_pass_deg
1,49,0,1,0.022938,-0.001792,0.013805,shot,,4.468,999.0
2,144,1,1,-0.058443,-0.001697,0.01061,shot,,0.126,999.0
3,145,1,1,-0.070595,-0.001681,0.011535,shot,,0.029,999.0
4,146,1,1,-0.081877,-0.001664,0.011383,shot,,0.0,999.0
5,147,1,1,-0.092541,-0.001648,0.010952,shot,,0.011,999.0
6,148,1,1,-0.102618,-0.001633,0.010427,shot,,0.016,999.0
7,167,1,1,-0.149438,-0.073208,0.010459,none,,39.956,105.772
8,168,1,1,-0.159022,-0.079194,0.010958,none,,38.255,103.047
9,169,1,1,-0.167939,-0.084792,0.0107,none,,37.997,101.527
10,170,1,1,-0.176367,-0.090088,0.010252,none,,38.161,100.388
11,171,1,1,-0.18434,-0.095098,0.00975,none,,38.47,100.168
12,172,1,1,-0.19187,-0.09983,0.009236,none,,38.83,100.731
13,181,1,1,-0.20582,-0.101483,0.01315,pass,2,97.539,27.425
14,184,1,2,-0.191316,-0.056301,0.015497,none,,102.872,63.267
15,185,1,2,-0.186432,-0.041835,0.01536,none,,104.377,64.916
16,186,1,2,-0.181522,-0.027624,0.015165,none,,105.834,66.477
17,187,1,2,-0.168754,-0.023001,0.012843,none,,136.529,38.668
18,188,1,2,-0.154182,-0.020786,0.01345,pass,0,157.798,18.323
19,189,1,2,-0.139777,-0.018612,0.014048,pass,0,165.429,11.131
20,190,1,2,-0.125532,-0.016469,0.014251,pass,0,168.391,8.596
21,191,1,2,-0.112321,-0.014702,0.013694,pass,0,170.158,7.245
22,192,1,2,-0.100521,-0.013479,0.012592,pass,0,171.896,5.846
23,193,1,2,-0.088833,-0.01228,0.012086,pass,0,172.743,5.23
24,194,1,2,-0.077256,-0.011099,0.011816,pass,0,173.169,5.028
25,195,1,2,-0.066331,-0.010138,0.011307,pass,0,173.852,4.565
26,196,1,2,-0.05601,-0.009385,0.010731,pass,0,174.663,3.933
